complaint_id,fraud_type,amount_lost,number_of_hops,victim_lat,victim_lon,withdrawal_lat,withdrawal_lon,beneficiary_bank,complaint_datetime,victim_district,victim_state,alert_level,is_insider_case,withdrawal_zone,freezable_amount,hour,is_weekend
CS2024000031,OLX Scam,6406.47,3,19.182764,72.880499,19.429294,72.763508,Canara,2024-07-01 18:39:00,Mumbai,Maharashtra,LOW,False,19.4_72.8,4484.5289999999995,18,False
CS2024000032,Tech Support Fraud,1904.22,3,28.61962,76.849063,28.345357,76.608718,Axis,2024-11-10 06:26:00,Delhi,Delhi,LOW,False,28.3_76.6,1332.954,6,True
CS2024000033,KYC Fraud,2195.75,2,28.863793,77.164159,28.985967,77.401637,HDFC,2024-01-24 14:31:00,Delhi,Delhi,LOW,False,29.0_77.4,1866.3875,14,False
CS2024000034,Job Fraud,434.41,3,28.357504,77.250231,28.362991,77.638044,HDFC,2024-11-22 10:04:00,Delhi NCR,Haryana,LOW,False,28.4_77.6,304.087,10,False
CS2024000035,Investment Scam,580899.46,9,28.611147,77.01517,28.951482,78.893964,HDFC,2024-07-28 16:44:00,Delhi NCR,Haryana,HIGH,False,29.0_78.9,58089.945999999996,16,True
CS2024000036,KYC Fraud,481.58,3,28.6461,77.095719,28.955983,76.7359,BOB,2024-10-22 05:38:00,Delhi,Delhi,LOW,False,29.0_76.7,337.106,5,False
CS2024000037,UPI Fraud,494.44,2,28.772489,77.181407,28.52312,76.786981,PNB,2024-05-01 21:59:00,Delhi,Delhi,LOW,False,28.5_76.8,420.274,21,False
CS2024000038,Tech Support Fraud,1047.53,1,12.971886,77.534765,13.273952,77.690797,Canara,2024-06-20 12:09:00,Bengaluru,Karnataka,LOW,False,13.3_77.7,1047.53,12,False
CS2024000039,Lottery Fraud,15577.8,4,28.587525,77.353268,27.51494,77.622698,ICICI,2024-01-10 09:27:00,Delhi,Delhi,MEDIUM,False,27.5_77.6,8567.79,9,False
CS2024000040,Job Fraud,2620.76,2,23.943314,86.860573,24.28233,86.807866,Canara,2024-05-12 02:11:00,Jamtara,Jharkhand,LOW,False,24.3_86.8,2227.646,2,True
CS2024000041,UPI Fraud,9332.32,4,28.692624,77.309143,27.71532,77.144223,PNB,2024-08-21 18:53:00,Delhi,Delhi,MEDIUM,False,27.7_77.1,5132.776,18,False
CS2024000042,Romance Scam,18440.4,6,17.503137,78.484328,18.862005,79.079755,SBI,2024-05-29 18:59:00,Hyderabad,Telangana,MEDIUM,False,18.9_79.1,4610.1,18,False
CS2024000043,UPI Fraud,2323.63,2,28.522785,77.507301,28.352769,77.199492,Kotak,2024-06-01 00:45:00,Delhi NCR,Haryana,LOW,False,28.4_77.2,1975.0855000000001,0,True
CS2024000044,KYC Fraud,10432.02,3,28.709986,76.857684,29.116782,77.075607,Canara,2024-06-02 15:35:00,Delhi,Delhi,LOW,False,29.1_77.1,7302.414,15,True
CS2024000045,OLX Scam,5442.98,2,19.024097,73.009837,19.293167,73.469644,HDFC,2024-08-06 04:30:00,Mumbai,Maharashtra,LOW,False,19.3_73.5,4626.532999999999,4,False
CS2024000046,Lottery Fraud,8131.05,2,12.965987,77.633122,13.355746,77.814113,SBI,2024-01-23 23:27:00,Bengaluru,Karnataka,LOW,False,13.4_77.8,6911.3925,23,False
CS2024000047,Romance Scam,1981.71,3,28.707385,76.975423,29.2603,77.961602,HDFC,2024-07-01 00:34:00,Delhi,Delhi,LOW,False,29.3_78.0,1387.197,0,False
CS2024000048,Tech Support Fraud,4335.36,3,13.000791,77.459831,13.12118,77.31018,Kotak,2024-10-04 14:37:00,Bengaluru,Karnataka,LOW,False,13.1_77.3,3034.7519999999995,14,False
CS2024000049,Tech Support Fraud,3400.52,3,19.294283,72.853768,19.60354,72.545689,Canara,2024-02-03 09:31:00,Mumbai,Maharashtra,LOW,False,19.6_72.5,2380.364,9,True
CS2024000050,Tech Support Fraud,3394.36,3,13.020727,77.452007,13.161959,77.623925,HDFC,2024-07-08 21:32:00,Bengaluru,Karnataka,LOW,False,13.2_77.6,2376.052,21,False
CS2024000051,Tech Support Fraud,930.63,1,28.711593,76.838614,28.532325,76.973141,Axis,2024-09-30 20:58:00,Delhi,Delhi,LOW,False,28.5_77.0,930.63,20,False
CS2024000052,Tech Support Fraud,10625.93,2,18.832799,72.94112,19.079046,72.628184,BOB,2024-08-31 13:16:00,Mumbai,Maharashtra,LOW,False,19.1_72.6,9032.0405,13,True
CS2024000053,KYC Fraud,1299.7,2,19.213455,73.086777,19.506713,72.617145,BOB,2024-11-24 13:22:00,Mumbai,Maharashtra,LOW,False,19.5_72.6,1104.7450000000001,13,True
CS2024000054,Job Fraud,1434.83,2,19.037189,72.997028,18.70556,72.611601,PNB,2024-11-28 04:37:00,Mumbai,Maharashtra,LOW,False,18.7_72.6,1219.6055,4,False
CS2024000055,Romance Scam,14850.49,3,19.032527,72.736862,19.547231,72.287887,Canara,2024-07-18 06:46:00,Mumbai,Maharashtra,LOW,False,19.5_72.3,10395.342999999999,6,False
CS2024000056,UPI Fraud,14491.25,4,28.773274,76.805457,28.65025,76.402924,Kotak,2024-06-29 15:44:00,Delhi,Delhi,MEDIUM,False,28.7_76.4,7970.187500000001,15,True
CS2024000057,UPI Fraud,702.87,3,17.568656,78.366149,17.339763,77.991435,Kotak,2024-04-23 07:59:00,Hyderabad,Telangana,LOW,False,17.3_78.0,492.00899999999996,7,False
CS2024000058,UPI Fraud,1385.07,3,28.788227,77.337168,28.171947,77.873827,ICICI,2024-12-24 14:59:00,Delhi,Delhi,LOW,False,28.2_77.9,969.5489999999999,14,False
CS2024000059,Lottery Fraud,7207.33,5,28.908955,77.544732,27.693605,78.446867,ICICI,2024-06-10 02:00:00,Delhi NCR,Haryana,MEDIUM,False,27.7_78.4,2882.9320000000002,2,False
CS2024000060,Investment Scam,51407.28,4,28.953803,76.543252,30.063533,76.946069,SBI,2024-08-27 12:17:00,Delhi NCR,Haryana,MEDIUM,False,30.1_76.9,28274.004,12,False
CS2024000061,KYC Fraud,707.77,3,23.926035,87.14062,23.641097,86.812933,Kotak,2024-03-06 02:14:00,Jamtara,Jharkhand,LOW,False,23.6_86.8,495.43899999999996,2,False
CS2024000062,UPI Fraud,2876.2,4,28.518457,76.939725,28.540089,76.519804,Kotak,2024-06-17 03:19:00,Delhi,Delhi,MEDIUM,False,28.5_76.5,1581.91,3,False
CS2024000063,Investment Scam,114982.59,8,12.80827,77.773612,10.678587,79.437659,Axis,2024-06-26 06:06:00,Bengaluru,Karnataka,HIGH,False,10.7_79.4,11498.259,6,False
CS2024000064,Investment Scam,102883.49,7,28.861823,76.981077,27.475317,75.320544,PNB,2024-03-10 10:32:00,Delhi,Delhi,HIGH,False,27.5_75.3,10288.34900000001,10,True
CS2024000065,OLX Scam,2295.26,3,28.884614,77.751571,29.260413,77.40799,Canara,2024-01-11 20:38:00,Delhi NCR,Haryana,LOW,False,29.3_77.4,1606.682,20,False
CS2024000066,Lottery Fraud,52060.05,4,28.672499,76.997893,29.230716,76.441095,BOB,2024-04-21 02:03:00,Delhi,Delhi,MEDIUM,False,29.2_76.4,28633.027500000004,2,True
CS2024000067,Investment Scam,21504.5,4,28.575501,77.155251,26.739302,76.737809,PNB,2024-04-15 10:12:00,Delhi NCR,Haryana,MEDIUM,False,26.7_76.7,11827.475,10,False
CS2024000068,Job Fraud,3463.54,1,28.631955,76.935836,28.379539,76.978607,Axis,2024-10-24 08:59:00,Delhi,Delhi,LOW,False,28.4_77.0,3463.54,8,False
CS2024000069,KYC Fraud,512.29,2,24.021351,87.079455,24.590366,87.119683,Canara,2024-09-12 12:58:00,Jamtara,Jharkhand,LOW,False,24.6_87.1,435.44649999999996,12,False
CS2024000070,OLX Scam,15549.0,3,24.04272,87.097792,23.946585,87.724556,ICICI,2024-05-08 11:08:00,Jamtara,Jharkhand,LOW,False,23.9_87.7,10884.3,11,False
CS2024000071,KYC Fraud,5797.81,2,28.788308,77.415415,29.087775,77.32096,BOB,2024-08-06 05:58:00,Delhi NCR,Haryana,LOW,False,29.1_77.3,4928.1385,5,False
CS2024000072,Romance Scam,211040.0,7,28.633851,76.989512,27.8245,76.475424,Axis,2024-09-08 09:06:00,Delhi,Delhi,HIGH,False,27.8_76.5,21104.00000000002,9,True
CS2024000073,OLX Scam,15308.49,1,28.610997,77.229495,28.465048,76.965551,Kotak,2024-10-16 00:54:00,Delhi NCR,Haryana,LOW,False,28.5_77.0,15308.49,0,False
CS2024000074,Investment Scam,337938.1,7,23.932099,86.859966,23.355264,85.788684,Kotak,2024-06-07 14:10:00,Jamtara,Jharkhand,HIGH,False,23.4_85.8,33793.81000000003,14,False
CS2024000075,Tech Support Fraud,3841.51,1,28.427802,77.768515,28.315147,77.511578,PNB,2024-10-12 10:31:00,Delhi NCR,Haryana,LOW,False,28.3_77.5,3841.51,10,True
CS2024000076,UPI Fraud,6101.72,2,28.657478,77.070051,28.646999,77.579285,HDFC,2024-11-02 17:44:00,Delhi NCR,Haryana,LOW,False,28.6_77.6,5186.462,17,True
CS2024000077,Tech Support Fraud,1053.35,1,19.066821,72.919462,19.046448,73.107891,HDFC,2024-04-16 04:38:00,Mumbai,Maharashtra,LOW,False,19.0_73.1,1053.35,4,False
CS2024000078,Lottery Fraud,11482.2,2,28.914482,77.339729,28.197264,77.295439,Axis,2024-11-07 20:55:00,Delhi NCR,Haryana,LOW,False,28.2_77.3,9759.87,20,False
CS2024000079,Lottery Fraud,9234.03,3,18.82411,72.818944,18.519493,73.160277,ICICI,2024-11-21 05:40:00,Mumbai,Maharashtra,LOW,False,18.5_73.2,6463.821,5,False
CS2024000080,OLX Scam,20104.38,2,19.070024,72.949535,18.937603,73.185468,ICICI,2024-10-04 10:43:00,Mumbai,Maharashtra,LOW,False,18.9_73.2,17088.723,10,False
CS2024000081,Lottery Fraud,9569.52,2,23.836323,86.964691,23.963506,87.406773,HDFC,2024-05-03 09:16:00,Jamtara,Jharkhand,LOW,False,24.0_87.4,8134.092000000001,9,False
CS2024000082,UPI Fraud,1041.24,4,19.210771,72.830706,19.248735,73.269237,HDFC,2024-04-20 08:22:00,Mumbai,Maharashtra,MEDIUM,False,19.2_73.3,572.682,8,True
CS2024000083,Job Fraud,1176.78,3,28.448262,76.845498,28.815153,76.825032,BOB,2024-02-24 06:18:00,Delhi,Delhi,LOW,False,28.8_76.8,823.746,6,True
CS2024000084,Job Fraud,280.35,3,18.878904,72.890137,18.909864,72.897606,PNB,2024-03-18 23:44:00,Mumbai,Maharashtra,LOW,True,18.9_72.9,252.31500000000003,23,False
CS2024000085,Tech Support Fraud,440.4,3,28.450964,76.992039,28.170777,76.613552,PNB,2024-01-07 07:49:00,Delhi,Delhi,LOW,False,28.2_76.6,308.28,7,True
CS2024000086,Investment Scam,147792.15,7,28.588516,77.251205,26.476357,77.271134,ICICI,2024-01-02 07:33:00,Delhi,Delhi,HIGH,False,26.5_77.3,14779.215000000013,7,False
CS2024000087,Romance Scam,3601.7,4,28.86575,77.293185,29.345306,76.127259,Kotak,2024-06-23 13:38:00,Delhi,Delhi,MEDIUM,False,29.3_76.1,1980.9350000000002,13,True
CS2024000088,Job Fraud,328.09,3,13.086334,77.473311,13.184244,77.128605,Kotak,2024-06-12 15:40:00,Bengaluru,Karnataka,LOW,False,13.2_77.1,229.66299999999995,15,False
CS2024000089,Tech Support Fraud,2131.8,1,17.243291,78.377517,17.214256,78.149763,PNB,2024-02-05 08:59:00,Hyderabad,Telangana,LOW,False,17.2_78.1,2131.8,8,False
CS2024000090,UPI Fraud,6856.19,4,24.091848,87.05998,23.301477,87.358198,Axis,2024-02-23 14:05:00,Jamtara,Jharkhand,MEDIUM,False,23.3_87.4,3770.9045,14,False
CS2024000091,Job Fraud,945.67,3,17.570633,78.490314,17.350993,78.772815,ICICI,2024-03-29 17:44:00,Hyderabad,Telangana,LOW,False,17.4_78.8,661.9689999999999,17,False
CS2024000092,UPI Fraud,1127.62,2,17.37652,78.512781,17.309321,78.278296,Kotak,2024-05-07 01:16:00,Hyderabad,Telangana,LOW,False,17.3_78.3,958.4769999999999,1,False
CS2024000093,Lottery Fraud,824.5,3,19.048287,72.943669,19.481543,72.7529,BOB,2024-06-10 03:41:00,Mumbai,Maharashtra,LOW,False,19.5_72.8,577.15,3,False
CS2024000094,KYC Fraud,5455.69,3,28.734714,77.168444,28.543253,77.559977,HDFC,2024-08-05 15:20:00,Delhi,Delhi,LOW,False,28.5_77.6,3818.9829999999993,15,False
CS2024000095,Investment Scam,52613.31,7,28.675551,77.03753,29.55766,76.289766,BOB,2024-10-25 12:02:00,Delhi,Delhi,MEDIUM,False,29.6_76.3,5261.331000000005,12,False
CS2024000096,Tech Support Fraud,1225.26,2,13.09967,77.465724,13.362695,77.456482,Canara,2024-07-07 19:11:00,Bengaluru,Karnataka,LOW,False,13.4_77.5,1041.471,19,True
CS2024000097,Tech Support Fraud,731.77,3,18.980422,73.056825,18.92178,72.886455,Kotak,2024-01-13 23:41:00,Mumbai,Maharashtra,LOW,False,18.9_72.9,512.2389999999999,23,True
CS2024000098,OLX Scam,3121.14,2,17.384217,78.359205,17.38461,78.340846,Kotak,2024-11-21 06:15:00,Hyderabad,Telangana,LOW,True,17.4_78.3,2809.026,6,False
CS2024000099,Job Fraud,217.02,1,28.885286,77.216982,29.171481,77.188238,BOB,2024-06-11 20:28:00,Delhi,Delhi,LOW,False,29.2_77.2,217.02,20,False
CS2024000100,Romance Scam,14608.51,4,19.263564,72.706706,19.887147,74.156587,SBI,2024-01-01 23:02:00,Mumbai,Maharashtra,MEDIUM,False,19.9_74.2,8034.6805,23,False
CS2024000101,Tech Support Fraud,15202.78,2,12.881515,77.770933,12.663115,77.636529,PNB,2024-02-13 13:54:00,Bengaluru,Karnataka,LOW,False,12.7_77.6,12922.363,13,False
CS2024000102,UPI Fraud,5028.19,4,28.329979,77.584249,27.869413,78.353015,HDFC,2024-04-11 10:15:00,Delhi NCR,Haryana,MEDIUM,False,27.9_78.4,2765.5045,10,False
CS2024000103,Tech Support Fraud,5324.94,2,28.585295,76.959293,29.002787,77.21107,SBI,2024-10-26 18:03:00,Delhi NCR,Haryana,LOW,False,29.0_77.2,4526.199,18,True
CS2024000104,Tech Support Fraud,5416.5,3,12.891754,77.553904,12.726307,77.743781,HDFC,2024-02-09 11:06:00,Bengaluru,Karnataka,LOW,False,12.7_77.7,3791.5499999999997,11,False
CS2024000105,OLX Scam,4621.09,1,18.954757,72.743799,19.140986,73.189438,SBI,2024-05-12 21:04:00,Mumbai,Maharashtra,LOW,False,19.1_73.2,4621.09,21,True
CS2024000106,OLX Scam,2787.87,2,18.808619,73.050671,18.358156,73.186396,ICICI,2024-02-21 03:55:00,Mumbai,Maharashtra,LOW,False,18.4_73.2,2369.6895,3,False
CS2024000107,Investment Scam,92300.69,4,28.861982,77.222255,27.940395,76.510033,Axis,2024-05-14 05:11:00,Delhi,Delhi,MEDIUM,False,27.9_76.5,50765.3795,5,False
CS2024000108,Job Fraud,1534.81,1,28.914035,76.634402,29.217578,76.484583,BOB,2024-09-12 10:59:00,Delhi NCR,Haryana,LOW,False,29.2_76.5,1534.81,10,False
CS2024000109,Romance Scam,37350.43,5,28.706578,77.228931,27.258504,77.252399,Axis,2024-03-02 17:24:00,Delhi,Delhi,MEDIUM,False,27.3_77.3,14940.172,17,True
CS2024000110,Lottery Fraud,9577.85,2,28.816535,76.924431,28.874163,76.271446,Kotak,2024-07-04 14:07:00,Delhi NCR,Haryana,LOW,False,28.9_76.3,8141.1725,14,False
CS2024000111,Job Fraud,286.22,3,12.960603,77.513891,12.871392,77.194099,Kotak,2024-01-04 12:44:00,Bengaluru,Karnataka,LOW,False,12.9_77.2,200.354,12,False
CS2024000112,Investment Scam,2275.64,5,28.527026,76.830704,27.903244,76.115188,Kotak,2024-10-12 11:04:00,Delhi NCR,Haryana,MEDIUM,False,27.9_76.1,910.256,11,True
CS2024000113,Romance Scam,77819.74,3,28.345909,76.602239,28.548971,77.62347,SBI,2024-08-27 06:38:00,Delhi NCR,Haryana,LOW,False,28.5_77.6,54473.818,6,False
CS2024000114,KYC Fraud,3198.05,2,12.978243,77.450487,13.013725,77.038004,BOB,2024-07-08 23:07:00,Bengaluru,Karnataka,LOW,False,13.0_77.0,2718.3425,23,False
CS2024000115,Lottery Fraud,2354.34,5,13.047438,77.787676,13.353062,77.407845,BOB,2024-09-03 18:35:00,Bengaluru,Karnataka,MEDIUM,False,13.4_77.4,941.7360000000001,18,False
CS2024000116,UPI Fraud,4037.63,2,28.865214,76.979711,28.788433,76.77813,Kotak,2024-10-08 09:37:00,Delhi NCR,Haryana,LOW,False,28.8_76.8,3431.9855000000002,9,False
CS2024000117,Romance Scam,48846.16,4,19.09516,72.742651,19.115404,72.760552,HDFC,2024-12-14 20:21:00,Mumbai,Maharashtra,MEDIUM,True,19.1_72.8,43961.544,20,True
CS2024000118,OLX Scam,7581.52,3,19.078923,72.794282,19.167985,73.138601,HDFC,2024-06-03 00:01:00,Mumbai,Maharashtra,LOW,False,19.2_73.1,5307.064,0,False
CS2024000119,Tech Support Fraud,353.44,1,28.444733,77.064675,28.237018,77.072002,ICICI,2024-12-07 12:56:00,Delhi,Delhi,LOW,False,28.2_77.1,353.44,12,True
CS2024000120,KYC Fraud,2225.39,2,28.59375,76.685989,27.776824,76.596296,PNB,2024-02-17 14:14:00,Delhi NCR,Haryana,LOW,False,27.8_76.6,1891.5814999999998,14,True
CS2024000121,KYC Fraud,1438.54,3,28.484531,77.576046,29.14592,77.789488,SBI,2024-11-12 02:53:00,Delhi NCR,Haryana,LOW,False,29.1_77.8,1006.978,2,False
CS2024000122,Job Fraud,161.66,3,23.903371,87.009691,24.459352,86.707707,Canara,2024-10-16 23:07:00,Jamtara,Jharkhand,LOW,False,24.5_86.7,113.16199999999999,23,False
CS2024000123,Job Fraud,5751.62,2,13.019212,77.630885,13.002339,77.604212,Kotak,2024-11-17 13:25:00,Bengaluru,Karnataka,LOW,True,13.0_77.6,5176.458,13,True
CS2024000124,Tech Support Fraud,6421.53,1,23.83619,87.160387,23.747387,87.317164,HDFC,2024-04-05 10:57:00,Jamtara,Jharkhand,LOW,False,23.7_87.3,6421.53,10,False
CS2024000125,OLX Scam,1502.41,3,18.888487,72.846277,18.824518,72.369192,Kotak,2024-02-15 21:01:00,Mumbai,Maharashtra,LOW,False,18.8_72.4,1051.687,21,False
CS2024000126,OLX Scam,13801.8,3,17.549149,78.426948,18.008484,78.794762,Canara,2024-07-13 22:56:00,Hyderabad,Telangana,LOW,False,18.0_78.8,9661.259999999998,22,True
CS2024000127,OLX Scam,4123.86,1,28.453656,77.235429,28.334357,77.100401,Kotak,2024-12-09 12:16:00,Delhi,Delhi,LOW,False,28.3_77.1,4123.86,12,False
CS2024000128,KYC Fraud,688.67,2,19.079078,72.908671,19.192165,73.239228,HDFC,2024-02-26 21:41:00,Mumbai,Maharashtra,LOW,False,19.2_73.2,585.3694999999999,21,False
CS2024000129,UPI Fraud,580.9,2,19.225683,72.997866,19.400949,72.739691,BOB,2024-08-14 12:35:00,Mumbai,Maharashtra,LOW,False,19.4_72.7,493.765,12,False
CS2024000130,Investment Scam,20284.37,7,28.505096,77.333811,27.079643,76.530561,Axis,2024-10-18 22:34:00,Delhi,Delhi,MEDIUM,False,27.1_76.5,2028.4370000000017,22,False
CS2024000131,KYC Fraud,1743.19,3,28.595964,77.136453,28.888438,77.56784,SBI,2024-08-17 16:28:00,Delhi,Delhi,LOW,False,28.9_77.6,1220.233,16,True
CS2024000132,UPI Fraud,153443.11,3,24.028786,87.184505,23.830634,86.386198,PNB,2024-07-20 12:26:00,Jamtara,Jharkhand,MEDIUM,False,23.8_86.4,107410.17699999998,12,True
CS2024000133,Tech Support Fraud,2347.84,2,17.547966,78.591823,17.718489,78.739298,SBI,2024-12-18 00:27:00,Hyderabad,Telangana,LOW,False,17.7_78.7,1995.664,0,False
CS2024000134,Lottery Fraud,3236.11,5,24.092842,86.92169,24.909555,86.506315,Canara,2024-12-20 22:32:00,Jamtara,Jharkhand,MEDIUM,False,24.9_86.5,1294.4440000000002,22,False
CS2024000135,Lottery Fraud,787.96,4,28.863796,76.952842,29.217798,78.096173,SBI,2024-10-31 18:56:00,Delhi,Delhi,MEDIUM,False,29.2_78.1,433.37800000000004,18,False
CS2024000136,UPI Fraud,13903.13,4,28.426016,76.989259,28.46106,76.995623,Axis,2024-10-04 04:28:00,Delhi,Delhi,MEDIUM,True,28.5_77.0,12512.817,4,False
CS2024000137,Lottery Fraud,3478.45,2,19.012357,72.837558,19.456412,73.56448,SBI,2024-05-25 06:34:00,Mumbai,Maharashtra,LOW,False,19.5_73.6,2956.6825,6,True
CS2024000138,OLX Scam,1950.33,3,28.605325,76.913907,28.360692,76.701305,Axis,2024-06-02 04:45:00,Delhi,Delhi,LOW,False,28.4_76.7,1365.2309999999998,4,True
CS2024000139,UPI Fraud,620.73,4,18.993527,72.854629,18.210639,72.34672,PNB,2024-11-06 23:35:00,Mumbai,Maharashtra,MEDIUM,False,18.2_72.3,341.40150000000006,23,False
CS2024000140,KYC Fraud,841.74,3,28.336633,76.767031,28.757028,77.355251,HDFC,2024-08-05 16:34:00,Delhi NCR,Haryana,LOW,False,28.8_77.4,589.218,16,False
CS2024000141,UPI Fraud,92.92,2,28.573953,77.094203,28.068314,77.259276,Axis,2024-03-30 21:46:00,Delhi,Delhi,LOW,False,28.1_77.3,78.982,21,True
CS2024000142,Lottery Fraud,9368.32,3,28.524372,77.680981,28.865259,78.872169,SBI,2024-11-03 08:54:00,Delhi NCR,Haryana,LOW,False,28.9_78.9,6557.824,8,True
CS2024000143,Tech Support Fraud,4088.46,2,28.747677,77.048744,29.034721,77.010672,Canara,2024-12-13 11:57:00,Delhi,Delhi,LOW,False,29.0_77.0,3475.191,11,False
