atm_id,lat,lon,bank_name,district,state,historical_fraud_count,atm_fraud_rate_last_30days
ATM_PAT_083,25.6604,85.2694,SBI,Patna,Bihar,62,0.123
ATM_GHA_084,28.793,77.3576,PNB,Ghaziabad,Uttar Pradesh,148,0.296
ATM_JAI_085,27.0331,75.7591,PNB,Jaipur,Rajasthan,52,0.23
ATM_PAT_086,25.6497,85.2085,ICICI,Patna,Bihar,105,0.041
ATM_MEW_087,27.9644,76.8733,HDFC,Mewat,Haryana,58,0.199
ATM_MAT_088,27.3665,77.5682,SBI,Mathura,Uttar Pradesh,187,0.283
ATM_GHA_089,28.5248,77.4028,PNB,Ghaziabad,Uttar Pradesh,178,0.086
ATM_NOI_090,28.6201,77.361,SBI,Noida,Uttar Pradesh,156,0.225
ATM_PAT_091,25.6566,85.0755,ICICI,Patna,Bihar,114,0.061
ATM_JAM_092,24.0699,86.716,ICICI,Jamtara,Jharkhand,102,0.228
ATM_JAI_093,27.0361,75.8339,SBI,Jaipur,Rajasthan,175,0.281
ATM_MAT_094,27.6157,77.6172,Axis,Mathura,Uttar Pradesh,31,0.192
ATM_MAT_095,27.5327,77.7496,SBI,Mathura,Uttar Pradesh,137,0.067
ATM_LUC_096,26.9939,81.0418,PNB,Lucknow,Uttar Pradesh,18,0.017
ATM_JAM_097,23.8293,86.8155,PNB,Jamtara,Jharkhand,117,0.116
ATM_MEW_098,28.0058,77.1136,PNB,Mewat,Haryana,136,0.29
ATM_HYD_099,17.5018,78.5641,ICICI,Hyderabad,Telangana,135,0.151
ATM_MEW_100,28.1346,76.9905,Axis,Mewat,Haryana,94,0.344
ATM_JAI_101,26.7715,75.7487,Axis,Jaipur,Rajasthan,129,0.055
ATM_MAT_102,27.608,77.6318,PNB,Mathura,Uttar Pradesh,147,0.19
ATM_HYD_103,17.3847,78.466,Axis,Hyderabad,Telangana,35,0.051
ATM_MEW_104,27.9867,76.9015,ICICI,Mewat,Haryana,149,0.141
ATM_NOI_105,28.6654,77.2679,PNB,Noida,Uttar Pradesh,27,0.298
ATM_JAM_106,23.856,86.8116,HDFC,Jamtara,Jharkhand,89,0.119
ATM_BHA_107,27.1977,77.6321,Axis,Bharatpur,Rajasthan,79,0.234
ATM_PAT_108,25.5064,85.0177,PNB,Patna,Bihar,128,0.179
ATM_GHA_109,28.6187,77.4878,PNB,Ghaziabad,Uttar Pradesh,160,0.135
ATM_MEW_110,27.8739,76.9411,SBI,Mewat,Haryana,140,0.282
ATM_MAT_111,27.6176,77.7043,PNB,Mathura,Uttar Pradesh,61,0.104
ATM_NOI_112,28.4826,77.4459,SBI,Noida,Uttar Pradesh,143,0.123
ATM_MEW_113,28.0843,77.0273,HDFC,Mewat,Haryana,101,0.203
ATM_LUC_114,26.7545,81.0243,ICICI,Lucknow,Uttar Pradesh,16,0.299
ATM_JAM_115,23.8889,86.7611,SBI,Jamtara,Jharkhand,44,0.076
ATM_JAI_116,26.7682,75.7402,ICICI,Jaipur,Rajasthan,86,0.069
ATM_JAM_117,24.027,86.9176,Axis,Jamtara,Jharkhand,182,0.103
ATM_JAI_118,26.8586,75.7603,PNB,Jaipur,Rajasthan,18,0.207
ATM_JAM_119,23.9508,86.858,Axis,Jamtara,Jharkhand,10,0.021
ATM_MAT_120,27.3532,77.6024,HDFC,Mathura,Uttar Pradesh,28,0.102
ATM_BHA_121,27.0827,77.3595,PNB,Bharatpur,Rajasthan,134,0.063
ATM_LUC_122,26.7748,80.964,Axis,Lucknow,Uttar Pradesh,66,0.335
ATM_PAT_123,25.6304,85.0315,Axis,Patna,Bihar,177,0.185
ATM_PAT_124,25.6033,85.274,PNB,Patna,Bihar,99,0.138
ATM_HYD_125,17.3696,78.3454,PNB,Hyderabad,Telangana,84,0.111
ATM_MEW_126,27.8889,77.0929,Axis,Mewat,Haryana,191,0.018
ATM_LUC_127,26.9497,81.0405,SBI,Lucknow,Uttar Pradesh,166,0.165
ATM_JAM_128,23.86,86.8994,PNB,Jamtara,Jharkhand,83,0.273
ATM_LUC_129,26.932,80.967,PNB,Lucknow,Uttar Pradesh,16,0.129
ATM_GHA_130,28.8026,77.3909,SBI,Ghaziabad,Uttar Pradesh,38,0.334
ATM_GHA_131,28.6556,77.51,Axis,Ghaziabad,Uttar Pradesh,193,0.155
ATM_NOI_132,28.3846,77.5386,ICICI,Noida,Uttar Pradesh,193,0.245
ATM_HYD_133,17.331,78.4582,PNB,Hyderabad,Telangana,59,0.295
ATM_GHA_134,28.771,77.4735,SBI,Ghaziabad,Uttar Pradesh,8,0.16
ATM_NOI_135,28.5933,77.4555,SBI,Noida,Uttar Pradesh,154,0.038
ATM_HYD_136,17.4899,78.5861,PNB,Hyderabad,Telangana,59,0.343
ATM_LUC_137,26.8541,81.0202,ICICI,Lucknow,Uttar Pradesh,169,0.279
ATM_MEW_138,28.0142,76.8981,PNB,Mewat,Haryana,75,0.235
ATM_JAI_139,27.0558,75.9086,ICICI,Jaipur,Rajasthan,33,0.271
ATM_BHA_140,27.2112,77.5643,Axis,Bharatpur,Rajasthan,134,0.054
ATM_HYD_141,17.4633,78.5135,SBI,Hyderabad,Telangana,113,0.033
ATM_JAM_142,24.0563,86.6835,Axis,Jamtara,Jharkhand,19,0.024
ATM_BHA_143,27.0973,77.3666,HDFC,Bharatpur,Rajasthan,94,0.141
ATM_GHA_144,28.5982,77.5464,Axis,Ghaziabad,Uttar Pradesh,31,0.239
ATM_PAT_145,25.4906,85.1446,Axis,Patna,Bihar,95,0.07
ATM_GHA_146,28.5862,77.4042,SBI,Ghaziabad,Uttar Pradesh,13,0.288
ATM_LUC_147,26.7417,81.0049,HDFC,Lucknow,Uttar Pradesh,69,0.152
ATM_MAT_148,27.6088,77.5722,ICICI,Mathura,Uttar Pradesh,108,0.3
ATM_LUC_149,26.7098,80.9823,Axis,Lucknow,Uttar Pradesh,26,0.11
ATM_MEW_150,28.0874,77.0381,HDFC,Mewat,Haryana,178,0.096
ATM_BHA_151,27.2437,77.518,HDFC,Bharatpur,Rajasthan,112,0.122
ATM_JAM_152,23.8927,86.8731,PNB,Jamtara,Jharkhand,141,0.132
ATM_PAT_153,25.4908,85.2493,ICICI,Patna,Bihar,181,0.298
ATM_GHA_154,28.6047,77.3059,Axis,Ghaziabad,Uttar Pradesh,5,0.339
ATM_MEW_155,27.9908,76.9048,HDFC,Mewat,Haryana,196,0.306
ATM_HYD_156,17.3033,78.4846,Axis,Hyderabad,Telangana,83,0.227
ATM_GHA_157,28.6564,77.376,SBI,Ghaziabad,Uttar Pradesh,29,0.214
ATM_BHA_158,27.2778,77.5472,Axis,Bharatpur,Rajasthan,115,0.294
ATM_MEW_159,27.9187,77.0299,Axis,Mewat,Haryana,89,0.322
ATM_PAT_160,25.5769,85.184,SBI,Patna,Bihar,120,0.254
ATM_MAT_161,27.5983,77.6594,HDFC,Mathura,Uttar Pradesh,108,0.027
ATM_MAT_162,27.3646,77.6936,HDFC,Mathura,Uttar Pradesh,60,0.035
ATM_HYD_163,17.4224,78.3741,Axis,Hyderabad,Telangana,52,0.182
ATM_BHA_164,27.2969,77.6168,ICICI,Bharatpur,Rajasthan,12,0.325
ATM_MEW_165,28.1028,76.9369,PNB,Mewat,Haryana,168,0.229
ATM_BHA_166,27.1657,77.5505,ICICI,Bharatpur,Rajasthan,34,0.173
ATM_PAT_167,25.7202,85.043,HDFC,Patna,Bihar,55,0.243
ATM_MAT_168,27.3746,77.5817,PNB,Mathura,Uttar Pradesh,90,0.226
ATM_NOI_169,28.6027,77.4278,SBI,Noida,Uttar Pradesh,128,0.09
ATM_BHA_170,27.2873,77.4776,HDFC,Bharatpur,Rajasthan,13,0.026
ATM_HYD_171,17.4902,78.3626,ICICI,Hyderabad,Telangana,20,0.022
ATM_HYD_172,17.3972,78.3714,HDFC,Hyderabad,Telangana,182,0.023
ATM_MAT_173,27.4724,77.7673,HDFC,Mathura,Uttar Pradesh,83,0.223
ATM_PAT_174,25.6197,85.2567,SBI,Patna,Bihar,9,0.256
ATM_MAT_175,27.6002,77.6366,HDFC,Mathura,Uttar Pradesh,186,0.124
ATM_HYD_176,17.299,78.3983,HDFC,Hyderabad,Telangana,21,0.275
ATM_JAM_177,24.0878,86.9325,PNB,Jamtara,Jharkhand,76,0.082
ATM_PAT_178,25.5034,85.2556,Axis,Patna,Bihar,136,0.325
ATM_NOI_179,28.4671,77.3817,Axis,Noida,Uttar Pradesh,62,0.05
ATM_JAI_180,27.0072,75.8413,PNB,Jaipur,Rajasthan,147,0.071
ATM_PAT_181,25.5113,85.0101,PNB,Patna,Bihar,15,0.117
ATM_GHA_182,28.6283,77.5254,Axis,Ghaziabad,Uttar Pradesh,117,0.265
ATM_JAI_183,26.9222,75.6696,SBI,Jaipur,Rajasthan,167,0.288
ATM_PAT_184,25.6979,85.0715,HDFC,Patna,Bihar,65,0.245
ATM_LUC_185,26.7209,81.0056,HDFC,Lucknow,Uttar Pradesh,137,0.091
ATM_HYD_186,17.4382,78.5901,Axis,Hyderabad,Telangana,154,0.09
ATM_JAI_187,27.056,75.8825,SBI,Jaipur,Rajasthan,126,0.252
ATM_PAT_188,25.6112,85.1116,ICICI,Patna,Bihar,119,0.039
ATM_BHA_189,27.0994,77.3626,ICICI,Bharatpur,Rajasthan,98,0.102
ATM_JAM_190,23.9394,86.7285,SBI,Jamtara,Jharkhand,56,0.067
ATM_PAT_191,25.4737,85.1472,Axis,Patna,Bihar,63,0.204
ATM_HYD_192,17.3978,78.6093,ICICI,Hyderabad,Telangana,41,0.12
ATM_MEW_193,28.1032,76.8938,HDFC,Mewat,Haryana,58,0.219
ATM_JAM_194,24.0361,86.7883,HDFC,Jamtara,Jharkhand,76,0.13
ATM_LUC_195,26.8692,80.8215,Axis,Lucknow,Uttar Pradesh,169,0.332
ATM_BHA_196,27.1322,77.5948,HDFC,Bharatpur,Rajasthan,112,0.08
ATM_HYD_197,17.3751,78.4969,ICICI,Hyderabad,Telangana,44,0.247
ATM_JAM_198,24.1017,86.9469,HDFC,Jamtara,Jharkhand,70,0.149
ATM_PAT_199,25.7278,85.0986,HDFC,Patna,Bihar,60,0.29
ATM_LUC_200,26.9043,81.0153,HDFC,Lucknow,Uttar Pradesh,32,0.038
ATM_JAM_201,24.036,86.7447,ICICI,Jamtara,Jharkhand,11,0.026
ATM_NOI_202,28.5121,77.3905,SBI,Noida,Uttar Pradesh,43,0.264
ATM_BHA_203,27.2154,77.4101,SBI,Bharatpur,Rajasthan,113,0.073
ATM_MEW_204,27.9324,76.8916,SBI,Mewat,Haryana,44,0.11
ATM_JAM_205,23.8568,86.8841,HDFC,Jamtara,Jharkhand,55,0.057
ATM_PAT_206,25.5255,85.2677,HDFC,Patna,Bihar,178,0.204
ATM_JAI_207,26.87,75.9241,HDFC,Jaipur,Rajasthan,106,0.023
ATM_JAI_208,26.7917,75.6644,PNB,Jaipur,Rajasthan,127,0.088
ATM_NOI_209,28.6527,77.331,ICICI,Noida,Uttar Pradesh,167,0.134
ATM_MEW_210,28.0209,77.0097,HDFC,Mewat,Haryana,134,0.048
ATM_JAI_211,27.0035,75.7384,ICICI,Jaipur,Rajasthan,6,0.025
ATM_GHA_212,28.5791,77.5583,SBI,Ghaziabad,Uttar Pradesh,87,0.122
ATM_MEW_213,27.9711,77.0308,Axis,Mewat,Haryana,71,0.117
ATM_MEW_214,28.1176,77.1425,Axis,Mewat,Haryana,141,0.275
ATM_MAT_215,27.6345,77.6612,Axis,Mathura,Uttar Pradesh,108,0.057
ATM_HYD_216,17.524,78.3749,PNB,Hyderabad,Telangana,42,0.083
ATM_HYD_217,17.4047,78.5135,Axis,Hyderabad,Telangana,142,0.158
ATM_GHA_218,28.5527,77.3915,PNB,Ghaziabad,Uttar Pradesh,84,0.224
ATM_BHA_219,27.265,77.3596,PNB,Bharatpur,Rajasthan,155,0.284
ATM_BHA_220,27.2581,77.5718,HDFC,Bharatpur,Rajasthan,133,0.174
ATM_LUC_221,26.9741,80.9917,HDFC,Lucknow,Uttar Pradesh,171,0.121
ATM_HYD_222,17.2398,78.5999,Axis,Hyderabad,Telangana,117,0.206
ATM_HYD_223,17.3405,78.4328,Axis,Hyderabad,Telangana,95,0.213
ATM_MEW_224,27.987,76.9171,PNB,Mewat,Haryana,115,0.081
ATM_MAT_225,27.4219,77.7066,SBI,Mathura,Uttar Pradesh,125,0.347
ATM_BHA_226,27.3395,77.513,PNB,Bharatpur,Rajasthan,115,0.309
ATM_JAI_227,26.8916,75.6594,PNB,Jaipur,Rajasthan,143,0.261
ATM_MAT_228,27.4033,77.6853,Axis,Mathura,Uttar Pradesh,125,0.269
ATM_PAT_229,25.51,85.0922,ICICI,Patna,Bihar,128,0.261
ATM_MEW_230,27.9036,77.0172,PNB,Mewat,Haryana,31,0.038
ATM_NOI_231,28.3987,77.3273,SBI,Noida,Uttar Pradesh,147,0.241
ATM_GHA_232,28.8181,77.3767,PNB,Ghaziabad,Uttar Pradesh,66,0.043
ATM_NOI_233,28.6785,77.3453,Axis,Noida,Uttar Pradesh,36,0.152
ATM_BHA_234,27.1674,77.5867,Axis,Bharatpur,Rajasthan,12,0.272
ATM_BHA_235,27.2896,77.3516,SBI,Bharatpur,Rajasthan,94,0.312
ATM_LUC_236,26.9863,80.9768,Axis,Lucknow,Uttar Pradesh,64,0.199
ATM_JAI_237,26.8214,75.7722,HDFC,Jaipur,Rajasthan,166,0.201
ATM_JAI_238,26.8425,75.757,Axis,Jaipur,Rajasthan,122,0.228
ATM_HYD_239,17.369,78.4437,SBI,Hyderabad,Telangana,198,0.246
ATM_MAT_240,27.5815,77.7887,HDFC,Mathura,Uttar Pradesh,175,0.147
ATM_HYD_241,17.35,78.4316,ICICI,Hyderabad,Telangana,31,0.026
ATM_NOI_242,28.516,77.4406,ICICI,Noida,Uttar Pradesh,184,0.156
ATM_GHA_243,28.7772,77.4347,SBI,Ghaziabad,Uttar Pradesh,91,0.025
ATM_NOI_244,28.6293,77.5179,SBI,Noida,Uttar Pradesh,24,0.024
ATM_BHA_245,27.0663,77.4607,ICICI,Bharatpur,Rajasthan,20,0.045
ATM_JAM_246,24.0416,86.9337,HDFC,Jamtara,Jharkhand,167,0.027
ATM_HYD_247,17.2562,78.3827,HDFC,Hyderabad,Telangana,104,0.012
ATM_JAI_248,26.8288,75.6799,PNB,Jaipur,Rajasthan,162,0.022
ATM_BHA_249,27.2987,77.3661,ICICI,Bharatpur,Rajasthan,151,0.273
ATM_PAT_250,25.5637,85.1354,HDFC,Patna,Bihar,169,0.336
ATM_NOI_251,28.4941,77.3053,PNB,Noida,Uttar Pradesh,148,0.083
ATM_BHA_252,27.1136,77.5667,SBI,Bharatpur,Rajasthan,185,0.19
ATM_HYD_253,17.4735,78.3477,Axis,Hyderabad,Telangana,48,0.275
ATM_GHA_254,28.7232,77.5719,PNB,Ghaziabad,Uttar Pradesh,40,0.065
ATM_HYD_255,17.3585,78.5932,HDFC,Hyderabad,Telangana,164,0.344
ATM_MAT_256,27.5548,77.6754,ICICI,Mathura,Uttar Pradesh,46,0.02
ATM_JAI_257,27.0598,75.8932,PNB,Jaipur,Rajasthan,137,0.164
ATM_JAI_258,27.0022,75.8016,HDFC,Jaipur,Rajasthan,153,0.101
ATM_MAT_259,27.4306,77.7866,SBI,Mathura,Uttar Pradesh,133,0.125
ATM_NOI_260,28.6571,77.3344,PNB,Noida,Uttar Pradesh,180,0.044
ATM_PAT_261,25.5346,85.2736,ICICI,Patna,Bihar,137,0.29
ATM_JAM_262,24.019,86.6984,PNB,Jamtara,Jharkhand,21,0.134
ATM_BHA_263,27.1412,77.5863,SBI,Bharatpur,Rajasthan,194,0.132
ATM_NOI_264,28.6489,77.3897,PNB,Noida,Uttar Pradesh,70,0.217
ATM_JAI_265,26.9717,75.94,Axis,Jaipur,Rajasthan,139,0.035
ATM_MAT_266,27.4944,77.5215,PNB,Mathura,Uttar Pradesh,154,0.121
ATM_JAM_267,23.9722,86.9341,Axis,Jamtara,Jharkhand,156,0.183
ATM_LUC_268,26.9475,81.0586,SBI,Lucknow,Uttar Pradesh,7,0.105
ATM_GHA_269,28.5745,77.357,Axis,Ghaziabad,Uttar Pradesh,130,0.343
ATM_JAM_270,23.851,86.877,SBI,Jamtara,Jharkhand,141,0.252
ATM_PAT_271,25.6113,85.1322,ICICI,Patna,Bihar,81,0.283
ATM_JAI_272,26.7924,75.8789,SBI,Jaipur,Rajasthan,154,0.121
ATM_HYD_273,17.3366,78.5127,SBI,Hyderabad,Telangana,38,0.236
ATM_NOI_274,28.4013,77.437,Axis,Noida,Uttar Pradesh,169,0.038
ATM_JAM_275,23.9241,86.6946,SBI,Jamtara,Jharkhand,125,0.261
ATM_LUC_276,26.8372,80.8221,PNB,Lucknow,Uttar Pradesh,71,0.221
ATM_MEW_277,27.9748,76.947,SBI,Mewat,Haryana,32,0.095
ATM_JAI_278,26.9441,75.828,SBI,Jaipur,Rajasthan,45,0.276
ATM_HYD_279,17.3066,78.545,PNB,Hyderabad,Telangana,22,0.122
ATM_JAI_280,26.8521,75.856,SBI,Jaipur,Rajasthan,25,0.121
ATM_GHA_281,28.7582,77.3259,PNB,Ghaziabad,Uttar Pradesh,80,0.082
ATM_BHA_282,27.2586,77.4959,ICICI,Bharatpur,Rajasthan,107,0.233
ATM_MAT_283,27.5713,77.7167,HDFC,Mathura,Uttar Pradesh,172,0.034
ATM_LUC_284,26.8316,80.966,Axis,Lucknow,Uttar Pradesh,133,0.044
ATM_HYD_285,17.521,78.5956,Axis,Hyderabad,Telangana,185,0.072
ATM_MAT_286,27.3711,77.774,PNB,Mathura,Uttar Pradesh,86,0.279
ATM_PAT_287,25.6226,84.9948,PNB,Patna,Bihar,40,0.32
ATM_GHA_288,28.7766,77.4924,PNB,Ghaziabad,Uttar Pradesh,124,0.271
ATM_MAT_289,27.3503,77.6993,PNB,Mathura,Uttar Pradesh,128,0.181
ATM_JAM_290,23.9716,86.8646,SBI,Jamtara,Jharkhand,144,0.243
ATM_GHA_291,28.5222,77.4193,HDFC,Ghaziabad,Uttar Pradesh,197,0.167
ATM_LUC_292,26.8557,80.9044,HDFC,Lucknow,Uttar Pradesh,16,0.101
ATM_PAT_293,25.5952,85.187,SBI,Patna,Bihar,198,0.011
ATM_MEW_294,27.9525,76.9259,Axis,Mewat,Haryana,72,0.338
ATM_LUC_295,26.7463,80.886,HDFC,Lucknow,Uttar Pradesh,123,0.107
ATM_HYD_296,17.269,78.4588,PNB,Hyderabad,Telangana,88,0.134
ATM_GHA_297,28.5611,77.4207,Axis,Ghaziabad,Uttar Pradesh,185,0.17
ATM_LUC_298,26.8306,81.0159,ICICI,Lucknow,Uttar Pradesh,56,0.193
ATM_JAM_299,24.0415,86.9039,Axis,Jamtara,Jharkhand,199,0.138
ATM_BHA_300,27.067,77.4734,HDFC,Bharatpur,Rajasthan,48,0.226
ATM_PAT_301,25.6623,85.055,SBI,Patna,Bihar,130,0.241
ATM_MAT_302,27.4908,77.6356,PNB,Mathura,Uttar Pradesh,107,0.283
ATM_GHA_303,28.6423,77.3081,HDFC,Ghaziabad,Uttar Pradesh,112,0.019
ATM_GHA_304,28.7042,77.3688,ICICI,Ghaziabad,Uttar Pradesh,103,0.31
ATM_MAT_305,27.403,77.6233,PNB,Mathura,Uttar Pradesh,147,0.284
ATM_JAM_306,23.8605,86.8879,SBI,Jamtara,Jharkhand,125,0.191
ATM_MEW_307,28.1077,77.0485,HDFC,Mewat,Haryana,78,0.114
ATM_PAT_308,25.4444,85.2535,SBI,Patna,Bihar,72,0.334
ATM_JAI_309,26.8268,75.7776,Axis,Jaipur,Rajasthan,102,0.254
ATM_LUC_310,26.7817,81.0595,ICICI,Lucknow,Uttar Pradesh,144,0.253
ATM_NOI_311,28.6126,77.2648,ICICI,Noida,Uttar Pradesh,85,0.317
ATM_NOI_312,28.5548,77.2522,PNB,Noida,Uttar Pradesh,25,0.286
ATM_PAT_313,25.6216,85.1147,HDFC,Patna,Bihar,198,0.232
ATM_BHA_314,27.2013,77.5209,ICICI,Bharatpur,Rajasthan,179,0.324
ATM_BHA_315,27.0963,77.5737,HDFC,Bharatpur,Rajasthan,36,0.263
ATM_JAI_316,26.9808,75.9046,SBI,Jaipur,Rajasthan,31,0.216
ATM_BHA_317,27.1241,77.6033,HDFC,Bharatpur,Rajasthan,69,0.271
ATM_BHA_318,27.0617,77.4443,Axis,Bharatpur,Rajasthan,46,0.14
